Date,Adj Close,Close,High,Low,Open,Volume
2020-03-24,59.4329719543457,87.47309875488281,92.35601043701172,84.87686157226562,85.12650299072266,21219
2020-03-25,64.83349609375,95.42156219482422,98.75672912597656,87.87252044677734,87.87252044677734,28316
2020-03-26,67.84585571289062,99.85513305664062,100.8337173461914,96.89942169189453,99.64543914794922,16549
2020-03-27,69.85409545898438,102.81084442138672,104.84789276123047,93.97366333007812,99.85513305664062,30670
2020-03-30,68.86354064941406,101.35295867919922,102.86077117919922,100.24456787109375,102.85078430175781,11547
2020-03-31,69.19599914550781,101.84225463867188,102.85078430175781,100.27452850341797,100.27452850341797,8210
2020-04-01,66.15647888183594,97.36874389648438,99.85513305664062,96.85948181152344,99.85513305664062,6481
2020-04-02,67.16061401367188,98.84659576416016,98.85658264160156,97.36874389648438,97.36874389648438,4925
2020-04-03,67.16737365722656,98.85658264160156,98.85658264160156,97.55846405029297,98.84659576416016,6584
2020-04-06,67.16737365722656,98.85658264160156,100.82373046875,98.38726043701172,98.38726043701172,6536
2020-04-07,68.8024673461914,101.26309204101562,103.83935546875,99.85513305664062,100.40433502197266,23856
2020-04-08,69.40628814697266,102.15180206298828,102.55122375488281,100.8836441040039,102.55122375488281,19995
2020-04-09,72.5950698852539,106.8449935913086,107.84354400634766,101.0833511352539,102.35150909423828,26459
2020-04-13,72.93428039550781,107.34426879882812,107.84354400634766,106.66525268554688,107.83355712890625,12575
2020-04-14,73.1174545288086,107.61387634277344,107.84354400634766,106.8449935913086,107.84354400634766,11123
2020-04-15,73.18531799316406,107.71372985839844,107.84354400634766,107.0447006225586,107.61387634277344,15746
2020-04-16,74.29119873046875,109.34136962890625,109.84064483642578,106.08609771728516,107.71372985839844,17491
2020-04-17,72.83930969238281,107.2044677734375,110.35989379882812,106.29579162597656,109.78073120117188,21371
2020-04-20,73.60597229003906,108.33283233642578,108.34281921386719,107.23442840576172,107.85353088378906,14928
2020-04-22,75.27497100830078,110.78926849365234,111.83775329589844,107.46409606933594,108.33283233642578,18678
2020-04-23,76.5301284790039,112.63658905029297,113.81488037109375,109.84064483642578,111.81777954101562,18216
2020-04-24,75.98057556152344,111.82776641845703,114.82341766357422,108.94194793701172,112.64657592773438,17074
