Date,Adj Close,Close,High,Low,Open,Volume
2020-06-04,77.96530151367188,115.57537078857422,116.90496826171875,115.06552124023438,115.85528564453125,104618
2020-06-05,79.14547729492188,117.32484436035156,117.8346939086914,115.71532440185547,115.71532440185547,75772
2020-06-08,79.91426849365234,118.46450805664062,118.96435546875,117.17488861083984,117.32484436035156,126024
2020-06-09,80.23123168945312,118.93436431884766,118.93436431884766,116.96495056152344,118.45450592041016,93184
2020-06-10,81.47207641601562,120.77381134033203,121.91346740722656,118.93436431884766,119.02433776855469,65460
2020-06-12,79.30732727050781,117.56477355957031,120.77381134033203,115.36543273925781,117.96465301513672,98033
2020-06-15,79.61080932617188,118.01464080810547,118.26456451416016,115.97525024414062,117.56477355957031,131321
2020-06-16,78.22830200195312,115.96525573730469,118.96435546875,115.86528015136719,118.4844970703125,201628
2020-06-17,77.8237075805664,115.36543273925781,116.81500244140625,115.25546264648438,116.02523803710938,170498
2020-06-18,78.6329345703125,116.56507110595703,116.81500244140625,115.56537628173828,115.94525909423828,155382
2020-06-19,81.6002426147461,120.96375274658203,121.26366424560547,116.81500244140625,116.81500244140625,172192
2020-06-22,83.05014038085938,123.11311340332031,123.85289001464844,121.50359344482422,121.50359344482422,77352
2020-06-23,82.94900512695312,122.9631576538086,124.26276397705078,122.7732162475586,123.14310455322266,63264
2020-06-24,82.94900512695312,122.9631576538086,123.66294860839844,122.66324615478516,123.66294860839844,54259
2020-06-25,83.3873519897461,123.61296081542969,123.83289337158203,122.9631576538086,123.552978515625,50563
2020-06-26,83.5559310913086,123.86288452148438,123.96286010742188,122.99314880371094,123.61296081542969,49662
2020-06-29,83.48847961425781,123.7629165649414,124.21278381347656,121.49359893798828,123.96286010742188,44716
2020-06-30,87.64945220947266,129.9310760498047,129.9310760498047,123.66294860839844,123.86288452148438,46846
2020-07-01,87.66963958740234,129.9610595703125,129.9610595703125,125.5623779296875,128.71144104003906,53259
2020-07-02,86.99529266357422,128.96136474609375,130.80081176757812,128.96136474609375,129.9610595703125,50352
2020-07-03,84.97216033935547,125.9622573852539,126.58206939697266,124.26276397705078,125.9622573852539,158295
2020-07-06,83.99427032470703,124.5126953125,126.55207824707031,124.4127197265625,126.06222534179688,91641
2020-07-07,83.62339782714844,123.96286010742188,125.3524398803711,123.96286010742188,124.56267547607422,79380
2020-07-08,84.29776763916016,124.96255493164062,125.55238342285156,124.1427993774414,124.61266326904297,98905
2020-07-09,85.03282928466797,126.05223083496094,126.4421157836914,125.07252502441406,125.55238342285156,73302
2020-07-10,86.38835144042969,128.06163024902344,128.4315185546875,126.06222534179688,126.06222534179688,69844
2020-07-13,84.97216033935547,125.9622573852539,128.06163024902344,125.71233367919922,128.06163024902344,67566
2020-07-14,84.29776763916016,124.96255493164062,126.94196319580078,124.86258697509766,126.74202728271484,57667
2020-07-15,85.51837921142578,126.77201843261719,126.77201843261719,124.96255493164062,125.91226959228516,48469
2020-07-16,85.70046997070312,127.04193878173828,127.06192779541016,126.3121566772461,126.9019775390625,62407
2020-07-17,85.720703125,127.0719223022461,127.86168670654297,126.46210479736328,127.04193878173828,61114
2020-07-20,85.49140930175781,126.73202514648438,127.96166229248047,125.36243438720703,127.0719223022461,72457
2020-07-21,85.84882354736328,127.26187133789062,127.46180725097656,125.9622573852539,126.84199523925781,63013
2020-07-22,85.4779281616211,126.7120361328125,127.45181274414062,125.95226287841797,127.3618392944336,46037
2020-07-23,85.51163482666016,126.76201629638672,127.24187469482422,126.11221313476562,126.86199188232422,58410
2020-07-24,85.53862762451172,126.80200958251953,127.32185363769531,126.14220428466797,126.76201629638672,60176
2020-07-27,85.63978576660156,126.95196533203125,127.16189575195312,126.76201629638672,126.95196533203125,61935
2020-07-28,85.9634780883789,127.43181610107422,127.43181610107422,125.92227172851562,126.96195983886719,67609
2020-07-29,85.61279296875,126.91197204589844,127.76171875,125.17249298095703,127.45181274414062,77606
2020-07-30,85.6465072631836,126.96195983886719,126.96195983886719,126.03223419189453,126.83200073242188,76435
2020-07-31,85.005859375,126.01224517822266,127.92166900634766,126.01224517822266,127.16189575195312,64971
2020-08-03,83.60314178466797,123.93286895751953,125.9622573852539,123.26306915283203,125.76232147216797,79790
2020-08-04,83.75823974609375,124.16279602050781,124.96255493164062,123.363037109375,123.93286895751953,62177
2020-08-05,84.60124206542969,125.41242218017578,125.41242218017578,124.16279602050781,124.16279602050781,41326
2020-08-06,84.29776763916016,124.96255493164062,126.28216552734375,124.5126953125,125.41242218017578,51234
2020-08-07,84.00776672363281,124.53268432617188,125.87228393554688,124.53268432617188,125.46240997314453,64881
2020-08-10,84.61473083496094,125.43241882324219,126.96195983886719,124.94256591796875,124.94256591796875,75495
